"","GEOID","car_pct_2010","transit_pct_2010","bicycle_pct_2010","walk_pct_2010","car_pct_2011","transit_pct_2011","bicycle_pct_2011","walk_pct_2011","car_pct_2012","transit_pct_2012","bicycle_pct_2012","walk_pct_2012","car_pct_2013","transit_pct_2013","bicycle_pct_2013","walk_pct_2013","car_pct_2014","transit_pct_2014","bicycle_pct_2014","walk_pct_2014","car_pct_2015","transit_pct_2015","bicycle_pct_2015","walk_pct_2015"
"549","06037208301",57.3473282442748,24.2843511450382,3.14885496183206,13.0248091603053,56.6382978723404,24.1702127659574,4.04255319148936,12.6382978723404,24.2451967063129,66.8801463860933,2.0128087831656,1.82982616651418,25.4748603351955,63.6871508379888,3.46368715083799,1.89944134078212,28.9194915254237,59.5338983050847,3.60169491525424,3.07203389830508,34.6707818930041,54.7325102880658,2.98353909465021,1.95473251028807
"550","06037208302",49.5354239256678,44.4250871080139,0,4.12311265969803,46.1338868707836,46.9641930461858,0,3.21743642968345,41.7668583376895,38.4736016727653,3.45007841087297,14.636696288552,44.6498054474708,39.056420233463,2.04280155642023,11.5758754863813,55.1497005988024,43.1736526946108,0.239520958083832,0.538922155688623,53.4549474847982,42.8413488114981,2.1558872305141,0.939745715865119
"551","06037208401",61.5837696335079,25.196335078534,0.916230366492147,7.32984293193717,55.6916426512968,33.0691642651297,0.864553314121038,5.40345821325648,42.3203381869422,50.6810709253171,0,1.87881634570221,40.4677846425419,52.7802294792586,1.01500441306267,2.55957634598411,45.4086781029263,46.619576185671,1.16044399596367,1.71543895055499,46.1976202793585,43.9730988101397,1.50025866528712,3.25918261769271
"552","06037208402",49.0335051546392,43.9432989690722,1.93298969072165,4.31701030927835,61.7098133654425,34.9187236604455,1.08368452739314,0,56.6203365032919,32.9919531821507,2.63350402340892,2.04828090709583,55.668016194332,35.6275303643725,1.48448043184885,0.944669365721997,62.1191135734072,33.0332409972299,1.24653739612188,0.277008310249307,59.4691535150646,32.7116212338594,1.29124820659971,1.57819225251076
"553","06037208501",63.4868421052632,30.4605263157895,0,2.23684210526316,71.7081850533808,22.5385527876631,0,2.07591933570581,73.4529702970297,24.009900990099,0,0,69.2307692307692,24.1354975299929,0,1.90543401552576,70.1215153681201,22.7305218012866,0,3.43102215868477,76.5191297824456,16.3540885221305,0,3.97599399849963
"554","06037208502",79.8052280881599,14.2491030240902,0,1.53767298821117,78.8894997251237,13.6338647608576,0,2.8587135788895,69.4985250737463,24.7197640117994,0,1.65191740412979,66.7109634551495,23.9867109634551,2.32558139534884,3.25581395348837,57.5192802056555,28.6632390745501,2.95629820051414,4.4987146529563,58.8160407383832,23.0426479949077,5.15595162316996,7.511139401655
"555","06037208610",74.3533537921964,18.1060938185007,0.438404208680403,3.85795703638755,77.7827648114901,17.7289048473968,0.583482944344704,0.718132854578097,78.3523752254961,12.8683102826218,0,4.50992182802165,76.4267990074442,15.7568238213399,0,3.90818858560794,75.5066589461494,17.1395483497394,0,1.73711638679792,71.9645648775404,22.1990620114643,0,1.77175612298072
"556","06037208620",81.8068794032325,12.9714048901782,1.53336096145876,1.49191877331123,82.5629290617849,14.0503432494279,0,2.05949656750572,78.3056925145675,17.7050649932766,0.448229493500672,1.43433437920215,78.7345385347288,16.0799238820171,0.380589914367269,1.76022835394862,77.5853775853776,16.1135161135161,0.384800384800385,2.45310245310245,76.6484878532474,15.6668319286068,0,2.62766484878532
"557","06037208710",38.7575590984057,50.2473886750962,0.549752611324904,3.24354040681693,38.3360522022839,50.7340946166395,1.79445350734095,2.17509516041327,78.0577187356848,17.2698121850664,0.732936326156665,2.56527714154833,75.0840134421507,18.1949111857897,0.72011521843495,3.84061449831973,76.7686424474187,15.8221797323136,0.717017208413002,3.58508604206501,74.1350906095552,15.8154859967051,0.988467874794069,3.33607907742998
"558","06037208720",52.0798668885191,39.6006655574043,2.4126455906822,4.5757071547421,32.1937321937322,61.8945868945869,2.06552706552707,1.42450142450142,41.2457912457912,48.9337822671156,1.85185185185185,1.68350168350168,43.0419037765132,48.0600103466115,1.50025866528712,0.931195033626487,42.9775280898876,51.685393258427,1.96629213483146,1.51685393258427,38.2022471910112,57.7078651685393,1.12359550561798,1.21348314606742
"559","06037208801",60.2281988590057,33.2518337408313,0,1.54849225753871,63.4447674418605,27.3255813953488,0,1.59883720930233,35.4213273676361,57.2706935123042,5.51826994780015,1.34228187919463,47.4254742547426,45.0542005420054,4.26829268292683,1.8970189701897,42.5641025641026,49.2948717948718,3.65384615384615,2.37179487179487,37.9820051413882,51.413881748072,1.67095115681234,3.14910025706941
"560","06037208802",18.5758513931889,75.9287925696594,0,3.40557275541796,18.0858550316678,76.2843068261787,0,3.09641097818438,65.5898876404494,27.5280898876405,0,1.33426966292135,61.6740088105727,31.5712187958884,0,2.79001468428781,59.5457335788828,36.34131368938,0,1.41190914671578,63.9925373134328,32.6492537313433,0,2.05223880597015
"561","06037208902",32.3025952512424,57.2059635560464,0,4.41744892324683,33.8270142180095,54.0284360189574,0,4.02843601895735,16.4487267721955,78.1830695113558,0,2.68410185822436,12.781954887218,81.8045112781955,0,3.08270676691729,16.0234899328859,78.5234899328859,0,3.02013422818792,17.1266808209483,74.2392073602265,0,6.79405520169851
"562","06037208903",28.2195997947665,57.2601334017445,0,10.3129810159056,29.4704049844237,57.0093457943925,0,6.91588785046729,31.9459459459459,57.8918918918919,0,3.2972972972973,31.0969637610186,62.3898139079334,0,1.86092066601371,29.1813159216474,61.1752887995982,0,3.31491712707182,26.0069617105917,61.56141223272,0,7.30979612133267
"563","06037208904",26.5799256505576,57.5278810408922,0,3.06691449814126,25.7377842283503,59.3613933236575,0,3.43492985002419,24.5173745173745,60.2960102960103,1.02960102960103,6.88545688545689,28.5040431266846,56.4690026954178,1.07816711590297,6.6711590296496,24.7224278312361,59.0673575129534,1.18430792005922,6.66173205033309,26.3089851325145,59.7931480284421,0.96961861667744,5.10665804783452
"564","06037209102",38.4872824631861,48.1927710843374,0,3.14591700133869,35.7943309162821,49.9670402109426,0.5273566249176,3.6255767963085,28.6881307063912,53.9644401729938,0,5.1417587698222,28.0249110320285,54.2259786476868,1.51245551601423,5.2491103202847,27.0506912442396,56.2672811059908,1.24423963133641,4.56221198156682,29.1607396870555,59.1749644381223,1.32764343290659,7.11237553342817
